,Shooter,value_added_total,shot_worth_total,PTS_total,Shot_taken,value_added_per_shot,shot_worth_per_shot,PTS_per_shot,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
304,"McGary, Mitch",-19.17448463,184.5760664,176,165,-0.116208998,1.118642827,1.066666667,0.533333333,0.55694849,0.994268579,7.086060606,12.48997707,3.475151515,1.269090909,0.284848485
305,"McGee, JaVale",-13.8725097,91.20753797,84,79,-0.175601389,1.154525797,1.063291139,0.53164557,0.577262899,0.994268579,5.965822785,13.34044246,2.982278481,1.273417722,0.443037975
306,"McLemore, Ben",-66.3015348,871.1796511,856,823,-0.080560796,1.058541496,1.040097205,0.436208991,0.441753648,0.994268579,16.81433779,13.13136197,4.920291616,1.759538275,1.074119077
307,"McNeal, Jerel",-2.808161768,9.401935299,7,10,-0.280816177,0.94019353,0.7,0.3,0.434062603,0.994268579,13.22,12.51487386,4.12,4.51,4.7
308,"McRoberts, Josh",0.153331431,59.44031063,64,53,0.002893046,1.121515295,1.20754717,0.528301887,0.495519293,0.994268579,13.18490566,9.658490566,3.954716981,1.762264151,0.811320755
309,"Meeks, Jodie",-40.00589999,528.8864804,518,533,-0.075057974,0.992282327,0.971857411,0.416510319,0.424048725,0.994268579,16.82401501,13.17370992,4.437898687,1.53358349,0.96435272
310,"Mekel, Gal",-11.74073794,17.07656418,6,20,-0.587036897,0.853828209,0.3,0.15,0.398333197,0.994268579,12.97,10.74974773,3.505,5.175,5.85
311,"Middleton, Khris",10.76801535,851.7881859,911,855,0.01259417,0.996243492,1.065497076,0.470175439,0.439594748,0.994268579,15.74900585,12.70919256,4.547134503,2.05497076,1.360233918
312,"Miles, CJ",-72.68005342,826.8877089,809,825,-0.088097034,1.002288132,0.980606061,0.397575758,0.404633732,0.994268579,19.13624242,11.88162052,4.36969697,1.377818182,0.877575758
313,"Miller, Andre",16.3899037,266.0599402,295,288,0.056909388,0.923819237,1.024305556,0.5,0.442516823,0.994268579,9.834375,11.07526839,3.277777778,5.144444444,4.84375
314,"Miller, Darius",-3.591187445,5.681762428,2,7,-0.513026778,0.811680347,0.285714286,0.142857143,0.383569095,0.994268579,16.52857143,12.94285714,4.471428571,2.214285714,1
315,"Miller, Mike",-23.13525693,118.4550367,100,110,-0.210320518,1.07686397,0.909090909,0.318181818,0.379483524,0.994268579,23.75636364,12.47135217,6.120909091,1.107272727,0.3
316,"Miller, Quincy",-8.044667499,19.2167059,12,20,-0.402233375,0.960835295,0.6,0.25,0.387348522,0.994268579,17.445,13.79,4.795,1.89,0.9
317,"Mills, Patty",-38.29008938,341.7830451,318,336,-0.113958599,1.017211444,0.946428571,0.380952381,0.408114939,0.994268579,19.34672619,12.64051613,5.263392857,2.613690476,2.535714286
318,"Millsap, Elijah",-63.6341471,236.7549349,188,234,-0.2719408,1.011773226,0.803418803,0.341880342,0.433378902,0.994268579,13.6465812,11.02535728,4.233760684,1.855555556,1.136752137
319,"Millsap, Paul",-72.43318506,956.2866226,952,921,-0.078646238,1.03831338,1.033659066,0.475570033,0.474470996,0.994268579,11.03897937,11.74408887,4.112920738,2.051574376,1.047774159
320,"Mirotic, Nikola",-99.39528253,647.1613956,594,614,-0.161881568,1.054008788,0.96742671,0.403908795,0.432962464,0.994268579,16.92980456,12.1440875,4.857166124,1.865472313,0.85504886
321,"Mohammed, Nazr",-5.571350476,27.94005489,24,29,-0.192115534,0.963450169,0.827586207,0.413793103,0.481725084,0.994268579,8.782758621,10.23439577,3.34137931,1.568965517,0.344827586
322,"Monroe, Greg",-62.18740276,839.6262301,846,851,-0.073075679,0.986634818,0.994124559,0.49706228,0.493317409,0.994268579,5.211750881,11.6895812,2.437367803,2.740893067,1.19506463
323,"Moore, E'Twaun",-4.392841318,128.7234232,134,136,-0.032300304,0.946495759,0.985294118,0.448529412,0.422586973,0.994268579,13.43455882,11.94147919,4.25,3.095588235,2.963235294
324,"Moreland, Eric",1.037874615,0.808871733,2,1,1.037874615,0.808871733,2,1,0.404435867,0.994268579,5.9,12.44873864,3,2.3,1
325,"Morris, Darius",-31.61761298,106.3384191,79,105,-0.301120124,1.012746849,0.752380952,0.342857143,0.449208836,0.994268579,14.29714286,12.72034405,4.847619048,5.156190476,5.4
326,"Morris, Marcus",-32.59720421,750.8116036,767,753,-0.04328978,0.997093763,1.018592297,0.435590969,0.421119231,0.994268579,16.69243028,12.88905997,4.637184595,2.133333333,1.269588313
327,"Morris, Markieff",-44.19646129,1029.506072,1065,1085,-0.040734066,0.948853523,0.98156682,0.464516129,0.443479916,0.994268579,12.70230415,11.58735467,4.156866359,2.124700461,0.928110599
328,"Morrow, Anthony",61.10183547,616.6638103,711,614,0.09951439,1.004338453,1.157980456,0.464169381,0.402330256,0.994268579,18.38322476,13.40702922,4.67752443,1.382736156,0.716612378
329,"Motiejunas, Donatas",6.987756021,688.6775807,747,688,0.010156622,1.000984856,1.085755814,0.507267442,0.463571684,0.994268579,9.655377907,12.02613346,3.903197674,1.931395349,0.805232558
330,"Mozgov, Timofey",-65.13402089,650.38298,630,564,-0.115485853,1.153161312,1.117021277,0.556737589,0.574403553,0.994268579,5.993794326,13.01948565,3.250886525,1.346631206,0.372340426
331,"Muhammad, Shabazz",-28.84115775,399.6765055,400,389,-0.074141794,1.027446029,1.028277635,0.488431877,0.488156338,0.994268579,9.956812339,13.88223627,3.166066838,1.66066838,1.01285347
332,"Murry, Toure",0.274043765,3.715241774,4,3,0.091347922,1.238413925,1.333333333,0.666666667,0.619206962,0.994268579,8.133333333,14.53333333,6.4,3.433333333,3.333333333
333,"Muscala, Mike",1.886049573,157.3570789,170,147,0.012830269,1.070456319,1.156462585,0.551020408,0.507445951,0.994268579,11.56394558,12.49178525,4.878911565,1.068027211,0.319727891
334,"Napier, Shabazz",-16.47513233,222.2724734,217,228,-0.072259352,0.974879269,0.951754386,0.381578947,0.395971827,0.994268579,18.54254386,10.21658922,4.616666667,3.364035088,2.842105263
335,"Neal, Gary",-40.15893257,441.9695233,428,502,-0.079997874,0.880417377,0.852589641,0.376494024,0.384209671,0.994268579,17.36155378,11.72544775,3.681075697,3.122310757,2.492031873
336,"Nelson, Jameer",-13.70173894,488.4301932,499,501,-0.02734878,0.974910565,0.996007984,0.409181637,0.398122683,0.994268579,18.89121756,12.66142669,4.751097804,4.95249501,5.025948104
337,Nene,-38.15463681,603.6226454,611,594,-0.064233395,1.01619974,1.028619529,0.513468013,0.506441047,0.994268579,9.702861953,11.9282531,4.155218855,2.094107744,0.644781145
338,"Nicholson, Andrew",-16.10286975,178.2133766,176,189,-0.085200369,0.942927919,0.931216931,0.433862434,0.432800745,0.994268579,15.10952381,11.60339244,4.856084656,1.502645503,0.492063492
339,"Noah, Joakim",-96.38916539,442.7920092,378,423,-0.227870367,1.04678962,0.893617021,0.446808511,0.523274115,0.994268579,7.108747045,13.52030711,3.440189125,1.324586288,0.451536643
340,"Noel, Nerlens",-126.3148218,666.1923478,588,637,-0.198296424,1.045827862,0.923076923,0.461538462,0.522913931,0.994268579,6.848351648,13.31057476,3.180533752,1.640816327,0.635792779
341,"Nogueira, Lucas",-6.004429094,9.33339549,4,8,-0.750553637,1.166674436,0.5,0.25,0.583337218,0.994268579,8,13.3625,4.2875,0.9875,0
342,"Novak, Steve",1.058596619,59.26550478,63,56,0.018903511,1.058312585,1.125,0.392857143,0.369324291,0.994268579,24.09642857,12.05531209,5.632142857,1.007142857,0.178571429
343,"Nowitzki, Dirk",51.42603287,950.556649,1078,1062,0.04842376,0.895062758,1.015065913,0.458568738,0.401189637,0.994268579,17.33926554,12.10249486,4.505932203,2.001506591,0.624293785
344,"Nurkic, Jusuf",-63.06285031,378.880966,342,380,-0.165954869,0.997055174,0.9,0.45,0.497798092,0.994268579,6.177631579,13.17772001,2.880526316,1.533421053,0.647368421
345,"O'Bryant, Johnny",-33.66841882,111.3912131,86,115,-0.292768859,0.968619244,0.747826087,0.373913043,0.484309622,0.994268579,12.06173913,12.54691265,4.622608696,0.242608696,0.382608696
346,"O'Quinn, Kyle",-7.376595834,238.5618343,250,242,-0.030481801,0.985792704,1.033057851,0.491735537,0.459402327,0.994268579,12.54628099,11.13467947,4.697107438,1.69338843,0.392561983
347,"Oladipo, Victor",-121.7123328,1075.412391,1026,1082,-0.112488293,0.993911637,0.948243993,0.435304991,0.455554884,0.994268579,12.09149723,12.52780328,3.779297597,4.149075786,3.918669131
348,"Olynyk, Kelly",-43.10910536,558.1058791,552,517,-0.083383183,1.07950847,1.067698259,0.47582205,0.476101909,0.994268579,13.65512573,13.81511788,4.966924565,1.558994197,0.638297872
349,"Onuaku, Arinze",5.565551339,17.45277573,24,14,0.397539381,1.246626838,1.714285714,0.857142857,0.623313419,0.994268579,4.05,13.38571429,2.85,1.05,0.214285714
350,"Pachulia, Zaza",-103.3963794,519.9557738,456,504,-0.205151546,1.031658281,0.904761905,0.452380952,0.515137989,0.994268579,9.484126984,12.18705813,4.545238095,1.576190476,0.44047619
351,"Papanikolaou, Kostas",-63.22997204,209.5942057,157,189,-0.334550117,1.108964051,0.830687831,0.343915344,0.452693014,0.994268579,15.71693122,11.98195719,5.486772487,1.780952381,0.82010582
