,Defender,value_added_total,shot_worth_total,PTS_total,Shot_defenses,value_added_per_shot,shot_worth_per_shot,PTS_per_shot_allowed,SHOT_RESULT,probs,mean_pps,SHOT_DIST,SHOT_CLOCK,CLOSE_DEF_DIST,TOUCH_TIME,DRIBBLES
269,"Landry, Carl",-43.53104024,388.979195,370,407,-0.106955873,0.955722838,0.909090909,0.42014742,0.440656586,0.994268579,12.49041769,11.83804015,4.093120393,2.871498771,1.977886978
111,"Dalembert, Samuel",-43.45104909,252.8572987,222,251,-0.173111749,1.007399596,0.884462151,0.426294821,0.492115649,0.994268579,8.33625498,13.15448117,3.7,2.652988048,1.669322709
405,"Shumpert, Iman",-43.4435242,497.5092084,482,496,-0.08758775,1.003042759,0.971774194,0.421370968,0.430945323,0.994268579,16.26834677,12.41545807,4.683669355,2.538709677,1.784274194
440,"Thompson, Klay",-43.13789749,738.6406372,739,769,-0.056096096,0.960520985,0.960988296,0.420026008,0.418660949,0.994268579,15.98543563,12.29435583,4.357997399,2.807542263,2.087126138
447,"Turner, Evan",-42.8760578,786.3865419,792,803,-0.053394842,0.979310762,0.98630137,0.442092154,0.43526257,0.994268579,14.36201743,12.80070636,3.718306351,2.473349938,1.894146949
457,"Waiters, Dion",-42.8416745,707.7662599,706,699,-0.061289949,1.012541144,1.010014306,0.444921316,0.440743297,0.994268579,15.16194564,12.86949181,4.244206009,2.635622318,1.942775393
4,"Afflalo, Arron",-42.42577361,697.8585197,691,723,-0.058680185,0.965226168,0.955739972,0.42461964,0.422815649,0.994268579,16.46984786,12.83963291,4.230428769,2.6395574,1.901798064
82,"Carroll, DeMarre",-41.89374268,792.544463,800,781,-0.053641156,1.014781643,1.024327785,0.453265045,0.437934687,0.994268579,15.80345711,12.79882282,4.159667093,2.05006402,1.312419974
5,"Ajinca, Alexis",-41.71614888,432.5610925,418,434,-0.096120159,0.996684545,0.963133641,0.470046083,0.482573042,0.994268579,8.64562212,11.77055527,3.761751152,2.978341014,2.179723502
22,"Arthur, Darrell",-41.58403878,414.5515971,400,419,-0.099245916,0.989383287,0.954653938,0.429594272,0.450087469,0.994268579,13.02338902,11.45980218,4.166587112,3.135083532,2.374701671
188,"Green, Willie",-41.51540289,286.918353,262,290,-0.143156562,0.989373631,0.903448276,0.389655172,0.422558813,0.994268579,16.74448276,12.18131842,4.314827586,3.048965517,2.503448276
205,"Hayward, Gordon",-41.50900874,614.8766048,610,602,-0.068951842,1.021389709,1.013289037,0.446843854,0.448738091,0.994268579,14.74451827,12.76564529,4.372757475,2.250332226,1.480066445
332,"Mozgov, Timofey",-41.39534875,1041.829383,1056,1036,-0.0399569,1.005626817,1.019305019,0.486486486,0.482521149,0.994268579,10.0726834,12.53157666,4.033397683,2.771621622,1.824324324
159,"Freeland, Joel",-41.22593422,262.312678,239,270,-0.152688645,0.971528437,0.885185185,0.425925926,0.464744599,0.994268579,9.587777778,12.40291625,3.125185185,3.111481481,2.166666667
84,"Carter-Williams, Michael",-41.12972972,611.7427828,600,592,-0.069475895,1.033349295,1.013513514,0.444256757,0.451027597,0.994268579,15.09712838,12.60317963,4.515202703,2.817567568,2.400337838
77,"Calathes, Nick",-40.71794505,218.4631314,190,241,-0.168954129,0.906486022,0.788381743,0.356846473,0.399720671,0.994268579,16.52572614,12.04699599,3.982987552,4.158506224,3.975103734
193,"Hamilton, Justin",-40.15471872,348.1585333,326,336,-0.119508091,1.036186111,0.970238095,0.470238095,0.495505311,0.994268579,8.588988095,11.84893956,3.502083333,2.691369048,1.741071429
362,"Pekovic, Nikola",-39.84779034,319.4725452,300,313,-0.127309234,1.020679058,0.958466454,0.460063898,0.488695017,0.994268579,9.994249201,12.67921711,4.231948882,2.833226837,1.932907348
116,"Davis, Ed",-39.65213198,792.4866586,804,768,-0.05163038,1.03188367,1.046875,0.483072917,0.477051245,0.994268579,11.47617188,12.39046076,4.264192708,2.294791667,1.4609375
263,"Knight, Brandon",-39.50193206,574.8837746,571,573,-0.068938799,1.003287565,0.996509599,0.429319372,0.431243725,0.994268579,16.53525305,12.10393031,4.327748691,2.757417103,2.211169284
459,"Walker, Kemba",-39.40977858,769.2426139,774,821,-0.048002166,0.936958117,0.942752741,0.414129111,0.410286296,0.994268579,16.19610231,12.21877703,3.890742996,3.348112058,2.869671133
230,"Jack, Jarrett",-39.3683806,780.9237873,786,784,-0.050214771,0.996076259,1.00255102,0.427295918,0.425440543,0.994268579,16.72512755,12.66622253,4.712372449,3.189540816,2.793367347
277,"Leonard, Kawhi",-38.71345614,585.8922463,584,586,-0.066063918,0.99981612,0.996587031,0.441979522,0.44492836,0.994268579,14.27406143,12.36718384,4.19334471,2.557167235,1.911262799
168,"Gee, Alonzo",-38.06193749,171.8982492,143,173,-0.220011199,0.993631498,0.826589595,0.358381503,0.425900399,0.994268579,16.75433526,12.29960162,4.510404624,2.821965318,2.260115607
255,"Kaman, Chris",-38.04157109,619.4351792,622,622,-0.061160082,0.995876494,1,0.487138264,0.485347324,0.994268579,8.666398714,12.63963761,3.374919614,2.84437299,1.844051447
476,"Williams, Lou",-37.59699909,538.3040475,537,542,-0.069367157,0.993180899,0.990774908,0.437269373,0.423612829,0.994268579,16.71697417,12.59835959,4.341512915,2.869188192,2.394833948
224,"Humphries, Kris",-37.37415027,505.4789625,506,516,-0.072430524,0.979610392,0.980620155,0.449612403,0.45359142,0.994268579,12.4125969,12.04608492,3.874031008,3,2.34496124
463,"Watson, CJ",-37.26204621,416.8905507,405,435,-0.085659876,0.958369082,0.931034483,0.416091954,0.420744818,0.994268579,16.12896552,12.84211142,4.142068966,3.99908046,3.818390805
279,"Leuer, Jon",-36.88789427,300.2538447,288,305,-0.120943916,0.984438835,0.944262295,0.442622951,0.455963425,0.994268579,11.96655738,11.8799421,3.824918033,2.667868852,1.839344262
