,Defender,value_added_x,value_added_y,Shot_defenses,shot_worth_y,shot_worth_x
152,"Felton, Raymond",-3.038970745779607,-0.03376634161977341,90.0,0.9893218971753285,89.03897074577957
153,"Fields, Landry",7.565102255294179,0.09225734457675829,82.0,0.9809133871305586,80.43489774470581
154,"Fournier, Evan",28.217302263786287,0.07272500583450074,388.0,0.9788213859180768,379.7826977362138
155,"Foye, Randy",40.82962666936317,0.13256372295247784,308.0,0.9843193939306396,303.170373330637
156,"Franklin, Jamaal",0.6978226876997025,0.1395645375399405,5.0,1.0604354624600596,5.302177312300298
157,"Frazier, Tim",0.5358455986614048,0.00864267094615169,62.0,0.9752282967957838,60.4641544013386
158,"Fredette, Jimmer",-4.545171350213773,-0.02705459137032008,168.0,0.9972926866084153,167.54517135021376
159,"Freeland, Joel",-23.312677973067185,-0.08634325175210068,270.0,0.9715284369372857,262.31267797306714
160,"Frye, Channing",64.91649675921941,0.07343495108508984,884.0,1.0193252299103848,901.0835032407801
161,"Gallinari, Danilo",20.405467022859497,0.041900342962750504,487.0,0.9971140307538825,485.5945329771408
162,"Galloway, Langston",-27.54677798620597,-0.05873513429894663,469.0,0.9563897185206939,448.5467779862054
